stem_comment
wkwkwk gak sekali pak selawat ke dpr kan banyak koruptor sana
mantab ini br dakwah yg sejati kl d tempat umum mah dh biasa ini luar biasa
salut buat gus miftah
yg nyinyir gak pernah lihat dan baca atw tahu sejarah dakwah walisongo sunan kali jagasmua ada cara demi baik asal jng ajk dg cara jah laku dg porsi dan sikon yg tepat
ada adab sholawat lebih baik ajak ke majelis ilmu
tiap ulama punya jalan dan cara dakwah masingjika kamu lihat kemunkaran lawan dengan tanganmukekuatanmu jika tidak mampu lawan dengan mulut jika tidak mampu juga dengan hati itu lemah lemah iman itu sudah jadi wajib para ulama kalo yg komen masih ada yg nyinyirin ulama arti otak sudah disisipin politik
umpanin nocannya yak
itu ceramah yg benar
besok bugil aja selawat
beda gus miftah dengan fpi hti bagai surga dan neraka di surga penuh kasih di neraka penuh hancur
knp di tempat kerja mending undang ke masjid ponpes aula supaya busana yg sopan
nah ini ulama beneranditerima di semua kalangankl uas malah blokir sana sini
kerennn saya pernah dpt info seperti ini dr yakin yg lain tapi tuju utama kurang lebih sama lah kita ambil sisi positif ajah terimakasih atas niat baik saya yakin pasti manfaat
hebat guslanjutkaninilah makna dakwah benar sampai marwah islam dengan penuh damai dan ikan paham bukan dengan benci dan paksa
diskotik syariah jadunya nih wkwkwkmantap
